ct_uid,ct_name,municipality_code,municipality_name,apciq_sector_number,population_weight,population_in_sector,tract_population,weight_basis,assignment_method,neighbourhood_names,tract_is_shared,includes_corrected_point
4620099.00,0099.00,66023,Montréal,7,1.000000,5742,5742,population,neighbourhood_polygon,Notre-Dame-de-Grâce,False,False
4620100.01,0100.01,66023,Montréal,7,1.000000,4147,4147,population,neighbourhood_polygon,Notre-Dame-de-Grâce,False,False
4620100.02,0100.02,66023,Montréal,7,1.000000,3442,3442,population,neighbourhood_polygon,Notre-Dame-de-Grâce,False,False
4620101.01,0101.01,66023,Montréal,7,1.000000,4082,4082,population,neighbourhood_polygon,Notre-Dame-de-Grâce,False,False
4620101.02,0101.02,66023,Montréal,7,1.000000,3728,3728,population,neighbourhood_polygon,Notre-Dame-de-Grâce,False,False
4620102.00,0102.00,66023,Montréal,7,1.000000,4254,4254,population,neighbourhood_polygon,Notre-Dame-de-Grâce,False,False
4620103.00,0103.00,66023,Montréal,7,1.000000,2325,2325,population,neighbourhood_polygon,Notre-Dame-de-Grâce,False,False
4620104.00,0104.00,66023,Montréal,7,1.000000,2818,2818,population,neighbourhood_polygon,Notre-Dame-de-Grâce,False,False
4620105.00,0105.00,66023,Montréal,7,1.000000,3425,3425,population,neighbourhood_polygon,Notre-Dame-de-Grâce,False,False
4620106.00,0106.00,66023,Montréal,7,1.000000,2107,2107,population,neighbourhood_polygon,Notre-Dame-de-Grâce,False,False
4620107.00,0107.00,66023,Montréal,7,1.000000,1539,1539,population,neighbourhood_polygon,Notre-Dame-de-Grâce,False,False
4620108.00,0108.00,66023,Montréal,7,1.000000,3947,3947,population,neighbourhood_polygon,Notre-Dame-de-Grâce,False,False
4620340.00,0340.00,66047,Montréal-Ouest,7,1.000000,5115,5115,population,borough_code,,False,False
4620109.00,0109.00,66023,Montréal,8,1.000000,1907,1907,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620110.00,0110.00,66023,Montréal,8,1.000000,4212,4212,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620111.00,0111.00,66023,Montréal,8,1.000000,7142,7142,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620112.01,0112.01,66023,Montréal,8,1.000000,5718,5718,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620112.02,0112.02,66023,Montréal,8,1.000000,4192,4192,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620113.00,0113.00,66023,Montréal,8,1.000000,4987,4987,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620114.00,0114.00,66023,Montréal,8,1.000000,2183,2183,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620115.01,0115.01,66023,Montréal,8,1.000000,2080,2080,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620115.02,0115.02,66023,Montréal,8,1.000000,5957,5957,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620116.00,0116.00,66023,Montréal,8,1.000000,6765,6765,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620117.00,0117.00,66023,Montréal,8,1.000000,4243,4243,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620118.00,0118.00,66023,Montréal,8,1.000000,4396,4396,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620119.00,0119.00,66023,Montréal,8,1.000000,6142,6142,population,neighbourhood_polygon,Côte-des-Neiges,False,False
