ct_uid,ct_name,municipality_code,municipality_name,apciq_sector_number,population_weight,population_in_sector,tract_population,weight_basis,assignment_method,neighbourhood_names,tract_is_shared,includes_corrected_point
4620317.06,0317.06,66023,Montréal,10,1.000000,4943,4943,population,neighbourhood_polygon,Ile-des-Soeurs,False,False
4620317.07,0317.07,66023,Montréal,10,1.000000,5410,5410,population,neighbourhood_polygon,Ile-des-Soeurs,False,False
4620317.08,0317.08,66023,Montréal,10,1.000000,3220,3220,population,neighbourhood_polygon,Ile-des-Soeurs,False,False
4620032.00,0032.00,66023,Montréal,11,1.000000,1497,1497,population,borough_code,,False,False
4620033.00,0033.00,66023,Montréal,11,1.000000,1752,1752,population,borough_code,,False,False
4620034.00,0034.00,66023,Montréal,11,1.000000,2825,2825,population,borough_code,,False,False
4620035.00,0035.00,66023,Montréal,11,1.000000,2015,2015,population,borough_code,,False,False
4620036.00,0036.00,66023,Montréal,11,1.000000,2103,2103,population,borough_code,,False,False
4620037.00,0037.00,66023,Montréal,11,1.000000,3452,3452,population,borough_code,,False,False
4620038.00,0038.00,66023,Montréal,11,1.000000,1976,1976,population,borough_code,,False,False
4620039.00,0039.00,66023,Montréal,11,1.000000,2142,2142,population,borough_code,,False,False
4620040.00,0040.00,66023,Montréal,11,1.000000,0,0,dissemination_area_count,borough_code,,False,False
4620041.00,0041.00,66023,Montréal,11,1.000000,1814,1814,population,borough_code,,False,False
4620042.00,0042.00,66023,Montréal,11,1.000000,1145,1145,population,borough_code,,False,False
4620043.00,0043.00,66023,Montréal,11,1.000000,1385,1385,population,borough_code,,False,False
4620044.00,0044.00,66023,Montréal,11,1.000000,2164,2164,population,borough_code,,False,False
4620045.00,0045.00,66023,Montréal,11,1.000000,1493,1493,population,borough_code,,False,False
4620046.00,0046.00,66023,Montréal,11,1.000000,2143,2143,population,borough_code,,False,False
4620047.00,0047.00,66023,Montréal,11,1.000000,728,728,population,borough_code,,False,False
4620048.00,0048.00,66023,Montréal,11,1.000000,2302,2302,population,borough_code,,False,False
4620049.00,0049.00,66023,Montréal,11,1.000000,1399,1399,population,borough_code,,False,False
