ref_date,geo,dguid,median_hh_total_income_2020,median_hh_total_income_2015,median_hh_aftertax_income_2020,median_hh_aftertax_income_2015,households_2021
2021,0249.00 - Montréal,2021S05074620249.00,56000,45200,50000,41200,2160
2021,0250.00 - Montréal,2021S05074620250.00,57600,50800,50400,46400,1935
2021,0251.01 - Montréal,2021S05074620251.01,52000,45600,47200,42000,1520
2021,0251.02 - Montréal,2021S05074620251.02,48400,40800,44000,38000,1230
2021,0252.00 - Montréal,2021S05074620252.00,52400,44000,48000,40400,2360
2021,0253.00 - Montréal,2021S05074620253.00,60800,52000,54400,47200,1555
2021,0254.00 - Montréal,2021S05074620254.00,54000,45600,48800,42000,1825
2021,0256.00 - Montréal,2021S05074620256.00,58000,47600,53200,45200,1540
2021,0257.00 - Montréal,2021S05074620257.00,57200,46400,52800,44000,1700
2021,0258.00 - Montréal,2021S05074620258.00,55600,45200,52400,42800,1860
2021,0259.00 - Montréal,2021S05074620259.00,52000,40800,47600,38800,2470
2021,0260.00 - Montréal,2021S05074620260.00,58000,51600,53600,47600,895
2021,0261.00 - Montréal,2021S05074620261.00,54000,43600,50000,40400,1135
2021,0262.00 - Montréal,2021S05074620262.00,59600,47200,54800,44400,1835
2021,0263.00 - Montréal,2021S05074620263.00,56800,48800,51600,44800,1745
2021,0264.01 - Montréal,2021S05074620264.01,73500,70500,62800,60000,2465
2021,0264.02 - Montréal,2021S05074620264.02,77000,69500,64500,58000,2630
2021,0265.00 - Montréal,2021S05074620265.00,69000,59200,60000,52000,2215
2021,0266.00 - Montréal,2021S05074620266.00,56800,48800,50000,43600,1695
2021,0267.00 - Montréal,2021S05074620267.00,63600,54800,56000,50000,2750
2021,0268.01 - Montréal,2021S05074620268.01,58800,50000,52000,44800,2900
2021,0268.02 - Montréal,2021S05074620268.02,69000,57600,61200,52400,2540
2021,0268.03 - Montréal,2021S05074620268.03,66500,0,56800,0,280
2021,0269.00 - Montréal,2021S05074620269.00,53200,45600,48000,40800,2135
2021,0270.00 - Montréal,2021S05074620270.00,60000,52800,52000,46000,2515
2021,0271.00 - Montréal,2021S05074620271.00,82000,73000,69000,62000,1640
2021,0272.00 - Montréal,2021S05074620272.00,60000,52800,52400,46800,1830
2021,0273.00 - Montréal,2021S05074620273.00,61600,52000,54000,46400,2265
2021,0274.00 - Montréal,2021S05074620274.00,59200,50000,53200,45600,1380
2021,0275.00 - Montréal,2021S05074620275.00,58400,50800,51600,45600,2045
