municipality_code,municipality_name,matricule,borough_code,use_code,neighbourhood_unit,frontage_m,lot_area_m2,storeys,year_built,year_built_flag,floor_area_m2,physical_link,construction_type,dwelling_count,market_ref_date,land_value,building_value,total_value,prev_total_value
66112,Baie-D'Urfé,71301172624,,1000,0518,30.48,1393.50,2,1957,R,207.9,1,2,1,2024-07-01,522600,400600,923200,896300
66112,Baie-D'Urfé,71301175924,,1000,0518,30.48,1393.50,2,1957,R,224.7,1,2,1,2024-07-01,522600,446600,969200,941000
66112,Baie-D'Urfé,71301279221,,1000,0518,30.48,1393.50,1,1956,R,196.9,1,4,1,2024-07-01,522600,456400,979000,950500
66112,Baie-D'Urfé,71301282530,,1000,0518,30.48,1393.50,2,1960,R,181.9,1,5,1,2024-07-01,522600,320800,843400,818800
66112,Baie-D'Urfé,71302135406,,1000,0518,31.32,1393.70,2,1962,R,221.3,1,2,1,2024-07-01,522600,379200,901800,875500
66112,Baie-D'Urfé,71302131090,,1000,0518,44.20,1394.50,2,1957,R,229.8,1,2,1,2024-07-01,522900,352100,875000,849500
66112,Baie-D'Urfé,71300151199,,1000,0518,30.63,1566.50,1,1971,R,208.4,1,1,1,2024-07-01,587400,1074000,1661400,1613000
66112,Baie-D'Urfé,71300155505,,1000,0518,30.48,1560.80,1,1974,R,245.9,1,4,1,2024-07-01,585300,411800,997100,968100
66112,Baie-D'Urfé,71300159804,,1000,0518,30.48,1551.50,2,1973,R,220.2,1,5,1,2024-07-01,581800,495000,1076800,1045400
66112,Baie-D'Urfé,71300262111,,1000,0518,30.48,1542.20,1,1973,R,177.5,1,1,1,2024-07-01,578300,385500,963800,935700
66112,Baie-D'Urfé,71300265411,,1000,0518,30.48,1532.90,1,1974,R,253.6,1,4,1,2024-07-01,574800,416300,991100,962200
66112,Baie-D'Urfé,71300270767,,1000,0518,40.84,2028.50,1,1974,R,274.3,1,1,1,2024-07-01,684600,759900,1444500,1402400
66112,Baie-D'Urfé,71300375111,,1000,0518,30.48,1488.90,1,1986,R,173.7,1,1,1,2024-07-01,558300,486700,1045000,1014600
66112,Baie-D'Urfé,71300378420,,1000,0518,30.48,1467.40,2,1991,R,209.6,1,5,1,2024-07-01,550300,425600,975900,947500
66112,Baie-D'Urfé,71300382729,,1000,0518,30.48,1446.00,2,1988,R,267.0,1,5,1,2024-07-01,542300,526700,1069000,1037900
66112,Baie-D'Urfé,71301454105,,1000,0518,30.48,1393.50,2,1986,R,209.1,1,5,1,2024-07-01,522600,436700,959300,931400
66112,Baie-D'Urfé,71301351798,,1000,0518,30.48,1393.50,2,1986,R,266.2,1,5,1,2024-07-01,522600,540400,1063000,1032000
66112,Baie-D'Urfé,71301347499,,1000,0518,30.48,1393.50,2,1986,R,248.1,1,5,1,2024-07-01,522600,583700,1106300,1074100
66112,Baie-D'Urfé,71301344181,,1000,0518,30.48,1393.50,1,1974,R,303.2,1,4,1,2024-07-01,522600,888000,1410600,1369500
66112,Baie-D'Urfé,71302248456,,1000,0518,30.48,1417.70,2,1974,R,243.9,1,5,1,2024-07-01,531600,547900,1079500,1048100
66112,Baie-D'Urfé,71300485027,,1000,0518,32.00,1393.50,2,1984,R,181.8,1,2,1,2024-07-01,522600,225800,748400,726600
66112,Baie-D'Urfé,71301240892,,1000,0518,30.48,1393.50,2,1986,R,188.7,1,5,1,2024-07-01,522600,430600,953200,925400
66112,Baie-D'Urfé,71301458411,,1000,0518,30.48,1393.50,2,1986,R,179.9,1,5,1,2024-07-01,522600,395100,917700,891000
66112,Baie-D'Urfé,71291691294,,1000,0520,29.42,1696.90,2,2018,R,448.2,1,5,1,2024-07-01,665200,2009600,2674800,2388200
66112,Baie-D'Urfé,71291459213,,1000,0523,,6950.10,2,1988,R,757.3,1,5,1,2024-07-01,4253500,1695500,5949000,5457800
66112,Baie-D'Urfé,71292502656,,1000,0520,45.78,1482.50,1,1962,R,251.8,1,4,1,2024-07-01,593000,635300,1228300,1096700
66112,Baie-D'Urfé,71291599281,,1000,0520,45.72,1458.00,2,1976,R,293.0,1,5,1,2024-07-01,583200,906600,1489800,1330200
66112,Baie-D'Urfé,71291493899,,1000,0520,33.77,1498.50,1,1962,R,290.1,1,4,1,2024-07-01,599400,915400,1514800,1352500
66112,Baie-D'Urfé,71291551670,,1000,0520,45.72,1393.60,2,1967,R,214.8,1,5,1,2024-07-01,557400,818100,1375500,1228100
66112,Baie-D'Urfé,71291548247,,1000,0520,45.72,1436.90,2,1962,R,397.4,1,5,1,2024-07-01,574800,1331700,1906500,1702200
66112,Baie-D'Urfé,71291440833,,1000,0520,36.76,1399.10,2,1963,R,268.4,1,2,1,2024-07-01,699600,935500,1635100,1459900
66112,Baie-D'Urfé,71292686269,,1000,0520,28.37,2854.40,2,1948,R,489.1,1,5,1,2024-07-01,856300,1150600,2006900,1791900
66112,Baie-D'Urfé,71293612090,,1000,0520,28.73,1904.50,2,1912,R,273.6,1,4,1,2024-07-01,632300,283700,916000,817900
66112,Baie-D'Urfé,71292628220,,1000,0520,47.31,3018.10,1,1949,R,283.8,1,4,1,2024-07-01,929600,741700,1671300,1492200
66112,Baie-D'Urfé,71292631703,,1000,0518,30.61,1493.80,2,1956,R,322.2,1,2,1,2024-07-01,560200,592700,1152900,1119300
66112,Baie-D'Urfé,71292634970,,1000,0518,30.10,1401.30,2,1955,R,160.5,1,5,1,2024-07-01,525500,287000,812500,788800
66112,Baie-D'Urfé,71293610912,,1000,0518,38.10,3169.20,2,1963,R,298.4,1,5,1,2024-07-01,891300,623900,1515200,1471100
66112,Baie-D'Urfé,71292736312,,1000,0518,30.48,1447.00,1,1954,R,112.6,1,1,1,2024-07-01,542600,131800,674400,654800
66112,Baie-D'Urfé,71292736619,,1000,0518,33.65,1337.60,1,1956,R,179.1,1,4,1,2024-07-01,501600,235500,737100,715600
66112,Baie-D'Urfé,71292744944,,1000,0518,35.72,1549.20,1,1954,R,128.0,1,1,1,2024-07-01,581000,174800,755800,733800
66112,Baie-D'Urfé,71292839314,,1000,0518,30.48,1374.30,2,1957,R,197.3,1,2,1,2024-07-01,515400,425000,940400,913000
66112,Baie-D'Urfé,71292868321,,1000,0518,30.48,1491.40,1,1954,R,156.1,1,1,1,2024-07-01,559300,181400,740700,719100
66112,Baie-D'Urfé,71292795458,,1000,0518,27.74,1509.70,1,1954,R,147.4,1,1,1,2024-07-01,566100,678900,1245000,972600
66112,Baie-D'Urfé,71293727542,,1000,0518,30.48,1566.90,2,1958,R,281.8,1,2,1,2024-07-01,587600,490200,1077800,1046400
66112,Baie-D'Urfé,71293765674,,1000,0518,31.61,2176.50,2,1953,R,218.1,1,2,1,2024-07-01,693800,231900,925700,898700
66112,Baie-D'Urfé,71293876026,,1000,0518,30.48,1586.50,1,1954,R,106.3,1,1,1,2024-07-01,594900,88300,683200,663300
66112,Baie-D'Urfé,71293862497,,1000,0518,36.58,1433.10,1,1954,R,145.0,1,1,1,2024-07-01,537400,202600,740000,718400
66112,Baie-D'Urfé,71293890480,,1000,0518,30.48,1542.70,1,1954,R,132.1,1,4,1,2024-07-01,578500,137100,715600,694800
66112,Baie-D'Urfé,71292944015,,1000,0518,31.39,1496.80,1,1954,R,118.4,1,1,1,2024-07-01,561300,163700,725000,703900
66112,Baie-D'Urfé,71292971034,,1000,0518,30.48,1453.20,1,1954,R,152.0,1,1,1,2024-07-01,545000,191000,736000,714600
66112,Baie-D'Urfé,71293901055,,1000,0518,29.87,1439.90,1,1954,R,124.9,1,1,1,2024-07-01,540000,201800,741800,720200
66112,Baie-D'Urfé,71293947132,,1000,0518,28.63,1359.10,2,1956,R,224.9,1,2,1,2024-07-01,509700,326200,835900,811600
66112,Baie-D'Urfé,71293976198,,1000,0518,30.48,1344.90,1,1954,R,146.5,1,1,1,2024-07-01,504300,323900,828200,804100
66112,Baie-D'Urfé,71294905295,,1000,0518,30.48,1393.50,1,1954,R,139.9,1,1,1,2024-07-01,522600,165700,688300,668300
66112,Baie-D'Urfé,71292969475,,1000,0518,34.75,2421.30,2,2019,R,499.8,1,5,1,2024-07-01,717300,2162400,2879700,2795800
66112,Baie-D'Urfé,71292968832,,1000,0518,34.75,2061.00,2,1953,R,241.0,1,5,1,2024-07-01,680100,815400,1495500,1451900
66112,Baie-D'Urfé,71302068177,,1000,0518,35.66,1639.70,1,1953,R,102.2,1,1,1,2024-07-01,614900,87600,702500,682000
66112,Baie-D'Urfé,71302071536,,1000,0518,34.75,1588.60,1,1954,R,126.0,1,1,1,2024-07-01,595700,176900,772600,750100
66112,Baie-D'Urfé,71302177051,,1000,0518,30.48,1393.50,2,1954,R,180.7,1,2,1,2024-07-01,522600,288800,811400,787800
66112,Baie-D'Urfé,71302180352,,1000,0518,30.48,1393.50,2,1953,R,237.4,1,5,1,2024-07-01,522600,448400,971000,942700
66112,Baie-D'Urfé,71303137070,,1000,0518,45.72,1532.90,1,1953,R,102.2,1,1,1,2024-07-01,574800,111800,686600,666600
66112,Baie-D'Urfé,71303171038,,1000,0518,33.53,1532.90,2,2011,R,380.3,1,5,1,2024-07-01,574800,1335600,1910400,1854800
66112,Baie-D'Urfé,71304006993,,1000,0518,36.00,1664.50,1,1953,R,103.4,1,1,1,2024-07-01,593000,103000,696000,675700
66112,Baie-D'Urfé,71304102388,,1000,0518,30.48,1595.60,1,1953,R,101.4,1,1,1,2024-07-01,598400,93100,691500,671400
66112,Baie-D'Urfé,71303150438,,1000,0518,29.18,1547.00,2,1956,R,201.8,1,2,1,2024-07-01,580100,252300,832400,808200
66112,Baie-D'Urfé,71303029426,,1000,0518,43.59,1394.90,2,1955,R,144.9,1,2,1,2024-07-01,523100,185400,708500,687900
66112,Baie-D'Urfé,71303061395,,1000,0518,32.00,1394.90,1,1953,R,143.3,1,1,1,2024-07-01,523100,208100,731200,709900
66112,Baie-D'Urfé,71303094396,,1000,0518,38.71,1393.50,1,1953,R,148.1,1,1,1,2024-07-01,522600,499400,1022000,992200
66112,Baie-D'Urfé,71303088026,,1000,0518,37.97,1545.50,1,1953,R,199.2,1,1,1,2024-07-01,579600,439100,1018700,989000
66112,Baie-D'Urfé,71293991668,,1000,0518,31.66,1568.70,1,1953,R,226.0,1,1,1,2024-07-01,588300,416200,1004500,975200
66112,Baie-D'Urfé,71293947520,,1000,0518,31.73,1481.00,2,1953,R,227.0,1,5,1,2024-07-01,555400,627900,1183300,1148800
66112,Baie-D'Urfé,71293943800,,1000,0518,31.09,1356.60,1,1953,R,217.7,1,4,1,2024-07-01,508700,413600,922300,895400
66112,Baie-D'Urfé,71303038054,,1000,0518,31.45,1451.30,1,1954,R,96.9,1,1,1,2024-07-01,544200,143400,687600,667600
