ct_uid,ct_dguid,ct_name,cma_uid,csd_uid,csd_name,mamh_code,blocks,population_2021,dwellings_2021,land_area_km2,has_income_2020
4620126.00,2021S05074620126.00,0126.00,462,2466023,Montréal,66023,16,2280,1151,0.7457,true
4620127.01,2021S05074620127.01,0127.01,462,2466023,Montréal,66023,26,5578,3873,0.4861,true
4620127.02,2021S05074620127.02,0127.02,462,2466023,Montréal,66023,1,21,10,1.3204,false
4620128.00,2021S05074620128.00,0128.00,462,2466023,Montréal,66023,48,3839,2248,3.0037,true
4620129.01,2021S05074620129.01,0129.01,462,2466023,Montréal,66023,10,4249,2977,0.2844,true
4620129.02,2021S05074620129.02,0129.02,462,2466023,Montréal,66023,15,3602,2931,0.3587,true
4620130.00,2021S05074620130.00,0130.00,462,2466023,Montréal,66023,11,3017,2826,0.1535,true
4620131.00,2021S05074620131.00,0131.00,462,2466023,Montréal,66023,7,3201,2683,0.1047,true
4620132.00,2021S05074620132.00,0132.00,462,2466023,Montréal,66023,19,5151,3796,0.2671,true
4620133.00,2021S05074620133.00,0133.00,462,2466023,Montréal,66023,12,2645,1802,0.1455,true
4620134.00,2021S05074620134.00,0134.00,462,2466023,Montréal,66023,5,1136,745,0.0861,true
4620135.00,2021S05074620135.00,0135.00,462,2466023,Montréal,66023,9,1717,956,0.1205,true
4620136.00,2021S05074620136.00,0136.00,462,2466023,Montréal,66023,20,2861,1675,0.1815,true
4620137.00,2021S05074620137.00,0137.00,462,2466023,Montréal,66023,10,1165,739,0.1823,true
4620138.00,2021S05074620138.00,0138.00,462,2466023,Montréal,66023,10,2077,1214,0.2788,true
4620139.00,2021S05074620139.00,0139.00,462,2466023,Montréal,66023,20,3223,1897,0.2205,true
4620140.00,2021S05074620140.00,0140.00,462,2466023,Montréal,66023,9,1388,744,0.1181,true
4620141.00,2021S05074620141.00,0141.00,462,2466023,Montréal,66023,9,1722,909,0.1201,true
4620142.00,2021S05074620142.00,0142.00,462,2466023,Montréal,66023,10,1683,976,0.1101,true
4620143.00,2021S05074620143.00,0143.00,462,2466023,Montréal,66023,16,2691,1602,0.173,true
4620144.00,2021S05074620144.00,0144.00,462,2466023,Montréal,66023,17,3542,2229,0.191,true
4620145.00,2021S05074620145.00,0145.00,462,2466023,Montréal,66023,5,0,0,0.4128,false
4620146.00,2021S05074620146.00,0146.00,462,2466023,Montréal,66023,14,2455,1556,0.1415,true
4620147.00,2021S05074620147.00,0147.00,462,2466023,Montréal,66023,21,2905,1710,0.1681,true
4620148.00,2021S05074620148.00,0148.00,462,2466023,Montréal,66023,7,1223,511,0.1425,true
4620149.00,2021S05074620149.00,0149.00,462,2466023,Montréal,66023,10,3238,2032,0.1383,true
4620150.00,2021S05074620150.00,0150.00,462,2466023,Montréal,66023,8,2412,1488,0.1646,true
4620151.00,2021S05074620151.00,0151.00,462,2466023,Montréal,66023,11,2124,1166,0.1171,true
4620152.00,2021S05074620152.00,0152.00,462,2466023,Montréal,66023,10,1650,1000,0.1364,true
4620153.00,2021S05074620153.00,0153.00,462,2466023,Montréal,66023,12,812,497,0.2683,true
4620154.00,2021S05074620154.00,0154.00,462,2466023,Montréal,66023,4,1104,616,0.1244,true
4620155.00,2021S05074620155.00,0155.00,462,2466023,Montréal,66023,6,1813,1083,0.106,true
4620156.00,2021S05074620156.00,0156.00,462,2466023,Montréal,66023,11,1955,1188,0.1375,true
4620157.00,2021S05074620157.00,0157.00,462,2466023,Montréal,66023,16,2152,1218,0.161,true
4620158.00,2021S05074620158.00,0158.00,462,2466023,Montréal,66023,13,2094,1294,0.1382,true
4620159.00,2021S05074620159.00,0159.00,462,2466023,Montréal,66023,11,1886,1016,0.1237,true
4620160.00,2021S05074620160.00,0160.00,462,2466023,Montréal,66023,14,1738,1118,0.1202,true
4620161.00,2021S05074620161.00,0161.00,462,2466023,Montréal,66023,14,1980,1111,0.1392,true
4620162.00,2021S05074620162.00,0162.00,462,2466023,Montréal,66023,16,1755,1088,0.0933,true
