ct_uid,admin_name,admin_geography_type,places_touched,name_is_a_majority_call,population_in_place,tract_population,population_named_elsewhere,assignment_basis
4620150.00,Le Plateau-Mont-Royal,borough,1,False,2412,2412,0,population
4620151.00,Le Plateau-Mont-Royal,borough,1,False,2124,2124,0,population
4620152.00,Le Plateau-Mont-Royal,borough,1,False,1650,1650,0,population
4620153.00,Le Plateau-Mont-Royal,borough,1,False,812,812,0,population
4620154.00,Le Plateau-Mont-Royal,borough,1,False,1104,1104,0,population
4620155.00,Le Plateau-Mont-Royal,borough,1,False,1813,1813,0,population
4620156.00,Le Plateau-Mont-Royal,borough,1,False,1955,1955,0,population
4620157.00,Le Plateau-Mont-Royal,borough,1,False,2152,2152,0,population
4620158.00,Le Plateau-Mont-Royal,borough,1,False,2094,2094,0,population
4620159.00,Le Plateau-Mont-Royal,borough,1,False,1886,1886,0,population
4620160.00,Le Plateau-Mont-Royal,borough,1,False,1738,1738,0,population
4620161.00,Le Plateau-Mont-Royal,borough,1,False,1980,1980,0,population
4620162.00,Le Plateau-Mont-Royal,borough,1,False,1755,1755,0,population
4620163.00,Le Plateau-Mont-Royal,borough,1,False,3090,3090,0,population
4620164.00,Le Plateau-Mont-Royal,borough,1,False,1586,1586,0,population
4620165.00,Le Plateau-Mont-Royal,borough,1,False,2322,2322,0,population
4620166.00,Rosemont-La Petite-Patrie,borough,1,False,574,574,0,population
4620167.00,Le Plateau-Mont-Royal,borough,1,False,2453,2453,0,population
4620168.00,Le Plateau-Mont-Royal,borough,1,False,2826,2826,0,population
4620169.00,Le Plateau-Mont-Royal,borough,1,False,2099,2099,0,population
4620170.00,Le Plateau-Mont-Royal,borough,1,False,2098,2098,0,population
4620171.00,Le Plateau-Mont-Royal,borough,1,False,4778,4778,0,population
4620172.00,Le Plateau-Mont-Royal,borough,1,False,2656,2656,0,population
4620173.00,Le Plateau-Mont-Royal,borough,1,False,2041,2041,0,population
4620174.00,Le Plateau-Mont-Royal,borough,1,False,2110,2110,0,population
4620175.00,Le Plateau-Mont-Royal,borough,1,False,1992,1992,0,population
4620176.00,Le Plateau-Mont-Royal,borough,1,False,1643,1643,0,population
4620177.00,Le Plateau-Mont-Royal,borough,1,False,1342,1342,0,population
4620178.00,Le Plateau-Mont-Royal,borough,1,False,2262,2262,0,population
4620179.00,Rosemont-La Petite-Patrie,borough,1,False,3783,3783,0,population
4620180.00,Rosemont-La Petite-Patrie,borough,1,False,3322,3322,0,population
4620181.00,Rosemont-La Petite-Patrie,borough,1,False,5881,5881,0,population
